Date,sector ,Net FPI Change
15-Feb-25,Textiles,-1931
28-Feb-25,Textiles,-994
15-Jan-20,"Textiles, Apparels & Accessories",
31-Jan-20,"Textiles, Apparels & Accessories",126
15-Feb-20,"Textiles, Apparels & Accessories",937
29-Feb-20,"Textiles, Apparels & Accessories",-1748
15-Mar-20,"Textiles, Apparels & Accessories",-4984
31-Mar-20,"Textiles, Apparels & Accessories",-5963
15-Apr-20,"Textiles, Apparels & Accessories",272
30-Apr-20,"Textiles, Apparels & Accessories",433
15-May-20,"Textiles, Apparels & Accessories",-2913
31-May-20,"Textiles, Apparels & Accessories",859
15-Jun-20,"Textiles, Apparels & Accessories",881
30-Jun-20,"Textiles, Apparels & Accessories",501
15-Jul-20,"Textiles, Apparels & Accessories",-90
31-Jul-20,"Textiles, Apparels & Accessories",1315
15-Aug-20,"Textiles, Apparels & Accessories",1208
31-Aug-20,"Textiles, Apparels & Accessories",248
15-Sep-20,"Textiles, Apparels & Accessories",1301
30-Sep-20,"Textiles, Apparels & Accessories",893
15-Oct-20,"Textiles, Apparels & Accessories",-139
31-Oct-20,"Textiles, Apparels & Accessories",-634
15-Nov-20,"Textiles, Apparels & Accessories",2525
30-Nov-20,"Textiles, Apparels & Accessories",1982
15-Dec-20,"Textiles, Apparels & Accessories",3039
31-Dec-20,"Textiles, Apparels & Accessories",3169
15-Jan-21,"Textiles, Apparels & Accessories",-1110
31-Jan-21,"Textiles, Apparels & Accessories",-1499
15-Feb-21,"Textiles, Apparels & Accessories",1909
28-Feb-21,"Textiles, Apparels & Accessories",-1637
15-Mar-21,"Textiles, Apparels & Accessories",2024
31-Mar-21,"Textiles, Apparels & Accessories",1689
15-Apr-21,"Textiles, Apparels & Accessories",-137
30-Apr-21,"Textiles, Apparels & Accessories",-765
15-May-21,"Textiles, Apparels & Accessories",-2610
31-May-21,"Textiles, Apparels & Accessories",5076
15-Jun-21,"Textiles, Apparels & Accessories",3351
30-Jun-21,"Textiles, Apparels & Accessories",-239
15-Jul-21,"Textiles, Apparels & Accessories",1720
31-Jul-21,"Textiles, Apparels & Accessories",730
15-Aug-21,"Textiles, Apparels & Accessories",2019
31-Aug-21,"Textiles, Apparels & Accessories",1057
15-Sep-21,"Textiles, Apparels & Accessories",4587
30-Sep-21,"Textiles, Apparels & Accessories",3899
15-Oct-21,"Textiles, Apparels & Accessories",10612
31-Oct-21,"Textiles, Apparels & Accessories",-4210
15-Nov-21,"Textiles, Apparels & Accessories",4908
30-Nov-21,"Textiles, Apparels & Accessories",-3055
15-Dec-21,"Textiles, Apparels & Accessories",310
31-Dec-21,"Textiles, Apparels & Accessories",3998
31-Jan-22,"Textiles, Apparels & Accessories",-1383
15-Feb-22,"Textiles, Apparels & Accessories",1128
28-Feb-22,"Textiles, Apparels & Accessories",-538
15-Mar-22,"Textiles, Apparels & Accessories",447
31-Mar-22,"Textiles, Apparels & Accessories",604
15-Apr-22,"Textiles, Apparels & Accessories",197
15-Jan-20,Total Financial Services,
31-Jan-20,Total Financial Services,-26965
15-Feb-20,Total Financial Services,11561
29-Feb-20,Total Financial Services,-81441
15-Mar-20,Total Financial Services,-136919
31-Mar-20,Total Financial Services,-243242
15-Apr-20,Total Financial Services,-7217
30-Apr-20,Total Financial Services,102813
15-May-20,Total Financial Services,-102098
31-May-20,Total Financial Services,3674
15-Jun-20,Total Financial Services,54385
30-Jun-20,Total Financial Services,50101
15-Jul-20,Total Financial Services,3104
31-Jul-20,Total Financial Services,11994
15-Aug-20,Total Financial Services,24102
31-Aug-20,Total Financial Services,70908
15-Sep-20,Total Financial Services,-33735
30-Sep-20,Total Financial Services,-31073
15-Oct-20,Total Financial Services,68463
31-Oct-20,Total Financial Services,31028
15-Nov-20,Total Financial Services,196177
30-Nov-20,Total Financial Services,53779
15-Dec-20,Total Financial Services,53085
31-Dec-20,Total Financial Services,58328
15-Jan-21,Total Financial Services,24993
31-Jan-21,Total Financial Services,-86687
15-Feb-21,Total Financial Services,257028
28-Feb-21,Total Financial Services,-116581
15-Mar-21,Total Financial Services,16104
31-Mar-21,Total Financial Services,-54845
15-Apr-21,Total Financial Services,-34787
30-Apr-21,Total Financial Services,4142
15-May-21,Total Financial Services,-17775
31-May-21,Total Financial Services,111251
15-Jun-21,Total Financial Services,15884
30-Jun-21,Total Financial Services,-27910
15-Jul-21,Total Financial Services,43089
31-Jul-21,Total Financial Services,-54200
15-Aug-21,Total Financial Services,74775
31-Aug-21,Total Financial Services,51571
15-Sep-21,Total Financial Services,8470
30-Sep-21,Total Financial Services,16556
15-Oct-21,Total Financial Services,64783
31-Oct-21,Total Financial Services,-21617
15-Nov-21,Total Financial Services,18475
30-Nov-21,Total Financial Services,-145328
15-Dec-21,Total Financial Services,14570
31-Dec-21,Total Financial Services,-52606
31-Jan-22,Total Financial Services,30587
15-Feb-22,Total Financial Services,-23675
28-Feb-22,Total Financial Services,-55143
15-Mar-22,Total Financial Services,-75176
31-Mar-22,Total Financial Services,63627
15-Apr-22,Total Financial Services,30397
15-Jan-20,Transport Related Services,
31-Jan-20,Transport Related Services,140
15-Feb-20,Transport Related Services,-168
29-Feb-20,Transport Related Services,-879
15-Mar-20,Transport Related Services,-2136
31-Mar-20,Transport Related Services,-788
15-Apr-20,Transport Related Services,884
30-Apr-20,Transport Related Services,-168
15-May-20,Transport Related Services,89
31-May-20,Transport Related Services,-38
15-Jun-20,Transport Related Services,70
30-Jun-20,Transport Related Services,530
15-Jul-20,Transport Related Services,203
31-Jul-20,Transport Related Services,346
15-Aug-20,Transport Related Services,-1252
31-Aug-20,Transport Related Services,100
15-Sep-20,Transport Related Services,-149
30-Sep-20,Transport Related Services,-556
15-Oct-20,Transport Related Services,-181
31-Oct-20,Transport Related Services,499
15-Nov-20,Transport Related Services,256
30-Nov-20,Transport Related Services,-88
15-Dec-20,Transport Related Services,-87
31-Dec-20,Transport Related Services,-206
15-Jan-21,Transport Related Services,416
31-Jan-21,Transport Related Services,-25
15-Feb-21,Transport Related Services,1684
28-Feb-21,Transport Related Services,400
15-Mar-21,Transport Related Services,41
31-Mar-21,Transport Related Services,597
15-Apr-21,Transport Related Services,-300
30-Apr-21,Transport Related Services,324
15-May-21,Transport Related Services,-130
31-May-21,Transport Related Services,1800
15-Jun-21,Transport Related Services,-59
30-Jun-21,Transport Related Services,299
15-Jul-21,Transport Related Services,-555
31-Jul-21,Transport Related Services,-421
15-Aug-21,Transport Related Services,520
31-Aug-21,Transport Related Services,379
15-Sep-21,Transport Related Services,672
30-Sep-21,Transport Related Services,-192
15-Oct-21,Transport Related Services,-488
31-Oct-21,Transport Related Services,-254
15-Nov-21,Transport Related Services,360
30-Nov-21,Transport Related Services,-1130
15-Dec-21,Transport Related Services,245
31-Dec-21,Transport Related Services,-471
31-Jan-22,Transport Related Services,356
15-Feb-22,Transport Related Services,-829
28-Feb-22,Transport Related Services,-98
15-Mar-22,Transport Related Services,-239
31-Mar-22,Transport Related Services,1201
15-Apr-22,Transport Related Services,128
15-Jan-20,Transportation,
31-Jan-20,Transportation,-1462
15-Feb-20,Transportation,-220
29-Feb-20,Transportation,-3763
15-Mar-20,Transportation,-6973
31-Mar-20,Transportation,-3740
15-Apr-20,Transportation,1347
30-Apr-20,Transportation,440
15-May-20,Transportation,710
31-May-20,Transportation,521
15-Jun-20,Transportation,1650
30-Jun-20,Transportation,721
15-Jul-20,Transportation,-843
31-Jul-20,Transportation,437
15-Aug-20,Transportation,1023
31-Aug-20,Transportation,1494
15-Sep-20,Transportation,778
30-Sep-20,Transportation,-1711
15-Oct-20,Transportation,285
31-Oct-20,Transportation,1475
15-Nov-20,Transportation,3262
30-Nov-20,Transportation,2008
15-Dec-20,Transportation,4189
31-Dec-20,Transportation,324
15-Jan-21,Transportation,2046
31-Jan-21,Transportation,-1311
15-Feb-21,Transportation,7900
28-Feb-21,Transportation,2740
15-Mar-21,Transportation,2314
31-Mar-21,Transportation,-862
15-Apr-21,Transportation,1020
30-Apr-21,Transportation,-609
15-May-21,Transportation,1352
31-May-21,Transportation,4236
15-Jun-21,Transportation,801
30-Jun-21,Transportation,-3907
15-Jul-21,Transportation,123
31-Jul-21,Transportation,-3422
15-Aug-21,Transportation,999
31-Aug-21,Transportation,4141
15-Sep-21,Transportation,2663
30-Sep-21,Transportation,157
15-Oct-21,Transportation,3590
31-Oct-21,Transportation,-4697
15-Nov-21,Transportation,3924
30-Nov-21,Transportation,-7848
15-Dec-21,Transportation,3446
31-Dec-21,Transportation,707
31-Jan-22,Transportation,-2401
15-Feb-22,Transportation,361
28-Feb-22,Transportation,-4057
15-Mar-22,Transportation,-1013
31-Mar-22,Transportation,4806
15-Apr-22,Transportation,2556
30-Apr-22,Utilities,
15-May-22,Utilities,-67
31-May-22,Utilities,26
15-Jun-22,Utilities,-39
30-Jun-22,Utilities,3
15-Jul-22,Utilities,11
31-Jul-22,Utilities,15
15-Aug-22,Utilities,13
31-Aug-22,Utilities,18
15-Sep-22,Utilities,21
30-Sep-22,Utilities,-54
15-Oct-22,Utilities,1
31-Oct-22,Utilities,0
15-Nov-22,Utilities,43
30-Nov-22,Utilities,216
15-Dec-22,Utilities,18
31-Dec-22,Utilities,-58
15-Jan-23,Utilities,4
31-Jan-23,Utilities,-16
15-Feb-23,Utilities,3
28-Feb-23,Utilities,-43
15-Mar-23,Utilities,15
31-Mar-23,Utilities,29
15-Apr-23,Utilities,0
30-Apr-23,Utilities,40
15-May-23,Utilities,55
31-May-23,Utilities,40
15-Jun-23,Utilities,37
30-Jun-23,Utilities,93
15-Jul-23,Utilities,34
31-Jul-23,Utilities,43
15-Aug-23,Utilities,-45
31-Aug-23,Utilities,-10
15-Sep-23,Utilities,-66
30-Sep-23,Utilities,93
15-Oct-23,Utilities,3
31-Oct-23,Utilities,-21
15-Nov-23,Utilities,143
30-Nov-23,Utilities,10
15-Dec-23,Utilities,88
31-Dec-23,Utilities,-7
15-Jan-24,Utilities,61
31-Jan-24,Utilities,12
15-Feb-24,Utilities,-11
29-Feb-24,Utilities,48
15-Mar-24,Utilities,-110
31-Mar-24,Utilities,464
15-Apr-24,Utilities,147
30-Apr-24,Utilities,111
15-May-24,Utilities,-51
31-May-24,Utilities,3
15-Jun-24,Utilities,147
30-Jun-24,Utilities,183
15-Jul-24,Utilities,23
31-Jul-24,Utilities,224
15-Aug-24,Utilities,32
31-Aug-24,Utilities,19
15-Sep-24,Utilities,208
30-Sep-24,Utilities,307
15-Oct-24,Utilities,273
31-Oct-24,Utilities,247
15-Nov-24,Utilities,-268
30-Nov-24,Utilities,289
15-Dec-24,Utilities,184
31-Dec-24,Utilities,-154
15-Jan-25,Utilities,-240
31-Jan-25,Utilities,-267
15-Feb-25,Utilities,-261
28-Feb-25,Utilities,-166
15-Jan-20,Utilities3,
31-Jan-20,Utilities3,-3159
15-Feb-20,Utilities3,-1145
29-Feb-20,Utilities3,-6787
15-Mar-20,Utilities3,-10025
31-Mar-20,Utilities3,-6249
15-Apr-20,Utilities3,3721
30-Apr-20,Utilities3,2364
15-May-20,Utilities3,-3215
31-May-20,Utilities3,767
15-Jun-20,Utilities3,1406
30-Jun-20,Utilities3,1926
15-Jul-20,Utilities3,-4659
31-Jul-20,Utilities3,1473
15-Aug-20,Utilities3,578
31-Aug-20,Utilities3,2312
15-Sep-20,Utilities3,-1080
30-Sep-20,Utilities3,-4511
15-Oct-20,Utilities3,-2120
31-Oct-20,Utilities3,4126
15-Nov-20,Utilities3,6143
30-Nov-20,Utilities3,5714
15-Dec-20,Utilities3,6108
31-Dec-20,Utilities3,-681
15-Jan-21,Utilities3,6568
31-Jan-21,Utilities3,-5829
15-Feb-21,Utilities3,13369
28-Feb-21,Utilities3,4103
15-Mar-21,Utilities3,5079
31-Mar-21,Utilities3,530
15-Apr-21,Utilities3,-639
30-Apr-21,Utilities3,5761
15-May-21,Utilities3,6251
31-May-21,Utilities3,9027
15-Jun-21,Utilities3,8857
30-Jun-21,Utilities3,-13029
15-Jul-21,Utilities3,-1951
31-Jul-21,Utilities3,-11090
15-Aug-21,Utilities3,12708
31-Aug-21,Utilities3,14576
15-Sep-21,Utilities3,12425
30-Sep-21,Utilities3,11546
15-Oct-21,Utilities3,12890
31-Oct-21,Utilities3,-7186
15-Nov-21,Utilities3,8960
30-Nov-21,Utilities3,-3740
15-Dec-21,Utilities3,5947
31-Dec-21,Utilities3,-9120
31-Jan-22,Utilities3,28159
15-Feb-22,Utilities3,-5991
28-Feb-22,Utilities3,5076
15-Mar-22,Utilities3,-52
31-Mar-22,Utilities3,12601
15-Apr-22,Utilities3,42594
